item_identifier,item_weight,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_age_category,item_fat_content_0,item_fat_content_1,item_fat_content_2,outlet_size_0,outlet_size_1,outlet_size_2,outlet_location_type_0,outlet_location_type_1,outlet_location_type_2,new_item_type_0,new_item_type_1,new_item_type_2,outlet_type_0,outlet_type_1,outlet_type_2,outlet_type_3,outlet_0,outlet_1,outlet_2,outlet_3,outlet_4,outlet_5,outlet_6,outlet_7,outlet_8,outlet_9,outlet_age_0,outlet_age_1,outlet_age_2,item_outlet_sales
FDY07,11.8,0.257161484,Fruits and Vegetables,45.5402,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,38.93618625
FDA03,18.5,0.213222356,Dairy,144.1102,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,46.7670076
FDX32,15.1,0.316249111,Fruits and Vegetables,145.4786,OUT049,1999,Moderate outlet,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,39.86558165
FDS46,17.6,0.217387507,Snack Foods,119.6782,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,46.31638587
FDF32,16.35,0.260814685,Fruits and Vegetables,196.4426,OUT013,1987,old outlet,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44.46825834
FDP49,9,0.262847791,Breakfast,56.3614,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,39.33597844
NCB42,11.8,0.092714891,Health and Hygiene,115.3492,OUT018,2009,New outlet,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,40.27268057
FDP49,9,0.26305204,Breakfast,54.3614,OUT049,1999,Moderate outlet,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26.80295133
DRI11,12.85764518,0.185034273,Hard Drinks,113.2834,OUT027,1985,old outlet,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,47.99654154
FDU02,13.35,0.320143905,Dairy,230.5352,OUT035,2004,New outlet,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,52.42539842
FDN22,18.85,0.371739528,Snack Foods,250.8724,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,61.44172849
FDW12,12.85764518,0.188148673,Baking Goods,144.5444,OUT027,1985,old outlet,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,63.74984863
NCB30,14.6,0.160306375,Household,196.5084,OUT035,2004,New outlet,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,39.84052208
FDC37,12.85764518,0.239910396,Baking Goods,107.6938,OUT019,1985,old outlet,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14.64198074
FDR28,13.85,0.160923848,Frozen Foods,165.021,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,63.85941591
NCD06,13,0.31604921,Household,45.906,OUT017,2007,New outlet,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28.96390858
FDV10,7.645,0.258250725,Snack Foods,42.3112,OUT035,2004,New outlet,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,32.63862742
DRJ59,11.65,0.139126317,Hard Drinks,39.1164,OUT013,1987,old outlet,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,17.57643877
FDE51,5.925,0.401828986,Dairy,45.5086,OUT010,1998,Moderate outlet,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.35793397
FDC14,12.85764518,0.268741141,Canned,43.6454,OUT019,1985,old outlet,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11.21767356
FDV38,19.25,0.412733026,Dairy,55.7956,OUT010,1998,Moderate outlet,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.79792171
NCS17,18.6,0.284305069,Health and Hygiene,96.4436,OUT018,2009,New outlet,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,52.36186017
FDP33,18.7,0.257161484,Snack Foods,256.6672,OUT018,2009,New outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,55.38958747
FDO23,17.85,0.257161484,Breads,93.1436,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,46.63156442
DRH01,17.5,0.312896195,Soft Drinks,174.8738,OUT046,1997,Moderate outlet,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,45.66492746
NCX29,10,0.298816226,Health and Hygiene,146.7102,OUT049,1999,Moderate outlet,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,61.57162658
FDV20,12.85764518,0.243950429,Fruits and Vegetables,128.0678,OUT027,1985,old outlet,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,52.89320939
DRZ11,8.85,0.336338956,Soft Drinks,122.5388,OUT018,2009,New outlet,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,40.12361399
FDX10,12.85764518,0.350872417,Snack Foods,36.9874,OUT027,1985,old outlet,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,19.7018121
FDB34,12.85764518,0.162729696,Snack Foods,87.6198,OUT027,1985,old outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,46.69577069
FDU02,13.35,0.320174178,Dairy,230.6352,OUT046,1997,Moderate outlet,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,58.61337731
FDK43,9.8,0.163763335,Meat,126.002,OUT013,1987,old outlet,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,46.37385039
FDA46,13.6,0.343246774,Snack Foods,192.9136,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50.27302259
FDC02,21.35,0.262874173,Canned,259.9278,OUT018,2009,New outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,82.27103257
FDL50,12.15,0.205615824,Canned,126.5046,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19.32650512
FDM39,6.42,0.299163711,Dairy,178.1002,OUT010,1998,Moderate outlet,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18.92618292
NCP05,19.6,0.257161484,Health and Hygiene,153.3024,OUT045,2002,Moderate outlet,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,49.28324665
FDV49,10,0.160871306,Canned,265.2226,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,76.25678462
FDL12,15.85,0.348758829,Baking Goods,60.622,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,50.76067375
FDS02,12.85764518,0.505366101,Dairy,196.8794,OUT019,1985,old outlet,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,27.93416546
NCL17,7.39,0.260345371,Health and Hygiene,143.8812,OUT046,1997,Moderate outlet,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,55.98737715
FDM40,10.195,0.399754741,Frozen Foods,141.5154,OUT013,1987,old outlet,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,29.17005999
FDR13,9.895,0.169401688,Canned,117.0492,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28.47708553
FDA43,10.895,0.25503251,Fruits and Vegetables,196.3794,OUT017,2007,New outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,55.86833092
NCP18,12.15,0.169587774,Household,151.4708,OUT017,2007,New outlet,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,69.39067372
FDK21,7.905,0.100265173,Snack Foods,249.0408,OUT018,2009,New outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,79.11080836
NCX54,9.195,0.219447802,Household,106.1622,OUT045,2002,Moderate outlet,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,46.01351975
DRK35,8.365,0.268250251,Hard Drinks,38.0506,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28.23052603
FDY21,15.1,0.416510869,Snack Foods,194.511,OUT046,1997,Moderate outlet,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,70.07335442
FDI26,12.85764518,0.247148087,Canned,180.0344,OUT019,1985,old outlet,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,29.8692484
FDM20,10,0.257161484,Fruits and Vegetables,246.9144,OUT018,2009,New outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,56.43746274
FDV27,7.97,0.200177749,Meat,87.3514,OUT045,2002,Moderate outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,32.59780361
FDF09,12.85764518,0.109954873,Fruits and Vegetables,38.2848,OUT027,1985,old outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,22.01595785
FDY40,12.85764518,0.38766737,Frozen Foods,51.0692,OUT019,1985,old outlet,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.1576149
FDY45,12.85764518,0.16129327,Snack Foods,255.8356,OUT027,1985,old outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,50.43169638
FDC46,17.7,0.441665287,Snack Foods,185.4266,OUT010,1998,Moderate outlet,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.58037555
FDH19,19.35,0.18188517,Meat,172.5738,OUT035,2004,New outlet,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,69.7543289
FDZ03,13.65,0.280974118,Dairy,186.024,OUT045,2002,Moderate outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,33.44464083
DRH37,17.6,0.20420763,Soft Drinks,164.8526,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47.9826677
NCI17,8.645,0.378711821,Health and Hygiene,95.841,OUT046,1997,Moderate outlet,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,45.02622569
FDJ58,15.6,0.324493562,Snack Foods,170.1764,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,58.61337731
FDL12,15.85,0.348613684,Baking Goods,59.222,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24.47897057
FDH35,18.25,0.257161484,Starchy Foods,164.7526,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,67.85773943
FDG02,7.855,0.106418335,Canned,189.6188,OUT017,2007,New outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,47.80194138
NCZ18,7.825,0.431691033,Household,254.3698,OUT049,1999,Moderate outlet,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,74.70432116
FDC29,8.39,0.155581686,Frozen Foods,114.0176,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,47.85762217
FDQ10,12.85,0.182293214,Snack Foods,172.3422,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,34.74327849
FDN48,12.85764518,0.337224471,Baking Goods,89.9804,OUT019,1985,old outlet,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,25.36065457
FDL04,19,0.335494422,Frozen Foods,104.9622,OUT017,2007,New outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,39.84887702
FDV25,5.905,0.257161484,Canned,222.5456,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,72.83607897
FDD58,7.76,0.243623154,Snack Foods,101.87,OUT046,1997,Moderate outlet,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,41.20424735
FDN04,11.8,0.118688908,Frozen Foods,180.3344,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,37.78194278
FDV45,16.75,0.212675678,Snack Foods,187.9556,OUT018,2009,New outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,68.51196976
NCL18,12.85764518,0.541680495,Household,194.6136,OUT019,1985,old outlet,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24.15037888
FDR12,12.85764518,0.177149778,Baking Goods,171.3764,OUT027,1985,old outlet,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,55.6055321
FDG20,15.5,0.355526173,Fruits and Vegetables,177.0028,OUT017,2007,New outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,49.79396751
FDZ55,6.055,0.159386003,Fruits and Vegetables,160.992,OUT035,2004,New outlet,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,52.11970836
FDQ49,12.85764518,0.197630152,Breakfast,155.963,OUT027,1985,old outlet,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,57.32122643
FDN33,6.305,0.35087856,Snack Foods,95.6436,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25.72557482
FDN27,20.85,0.199057796,Meat,117.2808,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,39.0301217
FDW20,20.75,0.201050225,Fruits and Vegetables,122.173,OUT010,1998,Moderate outlet,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.222877
DRG27,8.895,0.324459722,Dairy,39.9138,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26.27612224
DRI25,19.6,0.184310051,Soft Drinks,55.1614,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,37.16900591
FDA44,19.7,0.230678677,Fruits and Vegetables,57.893,OUT035,2004,New outlet,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24.95041082
NCR17,9.8,0.156136818,Health and Hygiene,114.5492,OUT035,2004,New outlet,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35.69791591
FDU04,12.85764518,0.098562645,Frozen Foods,120.0414,OUT019,1985,old outlet,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22.0763584
FDF41,12.15,0.362468981,Frozen Foods,246.046,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35.09601117
FDB56,8.75,0.273153968,Fruits and Vegetables,187.4556,OUT035,2004,New outlet,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,61.27896866
NCP18,12.85764518,0.16870021,Household,149.9708,OUT027,1985,old outlet,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,66.05795334
FDB56,8.75,0.273179796,Fruits and Vegetables,187.8556,OUT046,1997,Moderate outlet,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,36.25312676
FDT28,13.3,0.25237885,Frozen Foods,151.0708,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42.49293588
FDD10,12.85764518,0.214004273,Snack Foods,178.5344,OUT027,1985,old outlet,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,53.43173589
FDW57,8.31,0.340378059,Snack Foods,179.1028,OUT049,1999,Moderate outlet,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,62.42004165
DRB48,16.75,0.157584282,Soft Drinks,38.7822,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25.84177625
FDP09,19.75,0.184466553,Snack Foods,212.0902,OUT018,2009,New outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,56.44336099
FDH14,17.1,0.216262803,Canned,141.1838,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,47.41034486
FDA47,10.5,0.341433305,Baking Goods,163.121,OUT013,1987,old outlet,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,42.35954438
FDG12,6.635,0.257161484,Baking Goods,121.3098,OUT045,2002,Moderate outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,50.3061209
DRE60,12.85764518,0.528179965,Soft Drinks,225.372,OUT019,1985,old outlet,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26.05985418
DRK49,14.15,0.18950938,Soft Drinks,41.4138,OUT013,1987,old outlet,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28.50045614
FDD03,13.3,0.282500028,Dairy,232.53,OUT046,1997,Moderate outlet,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26.44031013
FDS52,8.89,0.074198929,Frozen Foods,102.4016,OUT017,2007,New outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,52.27277685
FDW39,12.85764518,0.254215149,Meat,176.937,OUT019,1985,old outlet,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13.28295901
FDX34,12.85764518,0.267650774,Snack Foods,121.7098,OUT027,1985,old outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,64.01041478
FDV11,9.1,0.257161484,Breads,173.2054,OUT045,2002,Moderate outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,56.14175986
FDD17,7.5,0.180769682,Frozen Foods,239.0906,OUT049,1999,Moderate outlet,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,77.08608824
FDZ16,16.85,0.400948942,Frozen Foods,192.4478,OUT017,2007,New outlet,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,69.5966594
FDZ46,7.485,0.262889045,Snack Foods,109.0228,OUT035,2004,New outlet,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,50.41849264
DRA12,11.6,0.202922411,Soft Drinks,140.3154,OUT017,2007,New outlet,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50.52402597
FDY58,11.65,0.20020288,Snack Foods,227.0694,OUT018,2009,New outlet,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,33.79122667
NCF19,13,0.187902427,Household,47.5034,OUT017,2007,New outlet,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26.08539055
DRJ13,12.65,0.251033558,Soft Drinks,159.0578,OUT045,2002,Moderate outlet,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,45.67221694
FDB14,20.25,0.414655014,Canned,92.512,OUT010,1998,Moderate outlet,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.65371744
FDJ38,8.6,0.200494219,Canned,190.153,OUT035,2004,New outlet,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,55.10034483
FDW11,12.6,0.221490438,Breads,62.7194,OUT017,2007,New outlet,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29.4426833
FDL40,17.7,0.107754165,Frozen Foods,95.041,OUT035,2004,New outlet,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29.47658393
DRI49,14.15,0.428377515,Soft Drinks,82.4276,OUT046,1997,Moderate outlet,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,33.72219447
